№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Официальный сайт	Адрес электронной почты	Округ	Район	Тип объекта
2427	Дворовая площадка	улица Лескова, дом 11А	Муниципалитет	(499) 745-33-36	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2428	Дворовая площадка	улица Лескова, дом 17А	Муниципалитет	(499) 745-33-16	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2429	Дворовая площадка	улица Лескова, дом 20	Муниципалитет	(499) 745-33-43	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2430	Дворовая площадка	улица Лесная, дом 63/43, строение 1	Муниципалитет	(499) 250-38-84 (499) 707-24-79	-	-	ЦАО	Тверской	дворовые спортивные площадки
2431	Дворовая площадка	улица Лестева, дом 20	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
2432	Дворовая площадка	улица Летчика Бабушкина, дом 11/2 корпус 1	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2433	Дворовая площадка	улица Летчика Бабушкина, дом 12	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2434	Дворовая площадка	улица Суздальская, дом 10, корпус 3	Муниципалитет	(499) 742-22-50	-	-	ВАО	Новокосино	дворовые спортивные площадки
2435	Дворовая площадка	улица Суздальская, дом 12, корпус 5	Муниципалитет	(499) 742-22-50	-	-	ВАО	Новокосино	дворовые спортивные площадки
2436	Дворовая площадка	улица Суздальская, дом 16	Муниципалитет	(499) 742-22-50	-	-	ВАО	Новокосино	дворовые спортивные площадки
2437	Дворовая площадка	улица Суздальская, дом 18, корпус 3	Муниципалитет	(499) 742-22-50	-	-	ВАО	Новокосино	дворовые спортивные площадки
2438	Дворовая площадка	улица Суздальская, дом 20, корпус 1	Муниципалитет	(499) 742-22-50	-	-	ВАО	Новокосино	дворовые спортивные площадки
2439	Дворовая площадка	улица Трофимова, дом 2/1	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
2440	Дворовая площадка	улица Трофимова, дом 34	Муниципалитет	(495) 958-98-64	-	-	ЮВАО	Южнопортовый	открытые ледовые катки на месте спортивных площадок (сезонные)
2441	Дворовая площадка	улица Трофимова, дом 6	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
2442	Дворовая площадка	улица Трофимова, дом 9, корпус 1	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
2443	Дворовая площадка	улица Туристская, дом 2, корпус 4	Муниципалитет	(495) 949-48-09	u-tushino.ru	-	СЗАО	Южное Тушино	дворовые спортивные площадки
2444	Дворовая площадка	улица Тучковская, дома 7-9	Муниципалитет	-	-	-	ЗАО	Филёвский парк	открытые ледовые катки на месте спортивных площадок (сезонные)
2445	Дворовая площадка	улица Угличская, дом 2	Муниципалитет	(499) 908-86-47 (495) 601-27-89	msu-lianozovo.ru	vmolianozovo@yandex.ru	СВАО	Лианозово	дворовые спортивные площадки
2446	Дворовая площадка	улица Угличская, дом 4	Муниципалитет	(499) 908-86-47 (495) 601-27-89	msu-lianozovo.ru	vmolianozovo@yandex.ru	СВАО	Лианозово	дворовые спортивные площадки
2447	Дворовая площадка	улица Угличская, дом 6, корпус 2	Муниципалитет	(499) 908-86-47 (495) 601-27-89	msu-lianozovo.ru	vmolianozovo@yandex.ru	СВАО	Лианозово	дворовые спортивные площадки
2448	Дворовая площадка	улица Удальцова, дом 24	Муниципалитет	-	-	-	ЗАО	Проспект Вернадского	дворовые спортивные площадки
